"raw_tag","normalized_tag","provider_comic_count","context","review_notes"
"魔物獵人","魔物獵人","1","OPEN_WORLD",""
"C73","c73","2","OPEN_WORLD",""
"艦娘: 叢雲","艦娘: 叢雲","2","OPEN_WORLD",""
"細胞","細胞","1","OPEN_WORLD",""
"冰菓","冰菓","1","OPEN_WORLD",""
"冰菓: 折木奉太郎","冰菓: 折木奉太郎","1","OPEN_WORLD",""
"冰菓: 福部里志","冰菓: 福部里志","1","OPEN_WORLD",""
"冰菓: 伊原摩耶花","冰菓: 伊原摩耶花","1","OPEN_WORLD",""
"艦娘: 大和","艦娘: 大和","2","OPEN_WORLD",""
"鬼滅之刃:竈門禰豆子","鬼滅之刃:竈門禰豆子","1","OPEN_WORLD",""
"偶像大師灰姑娘: 佐久間麻由","偶像大師灰姑娘: 佐久間麻由","2","OPEN_WORLD",""
"海賊王: 羅賓","海賊王: 羅賓","1","OPEN_WORLD",""
"LLSunShine: 津島善子","llsunshine: 津島善子","2","OPEN_WORLD",""
"友少: 三日月夜空","友少: 三日月夜空","2","OPEN_WORLD",""
"鬼滅之刃:童磨","鬼滅之刃:童磨","1","OPEN_WORLD",""
"鬼滅之刃:鬼舞辻無慘","鬼滅之刃:鬼舞辻無慘","1","OPEN_WORLD",""
"艦娘: 赤城","艦娘: 赤城","2","OPEN_WORLD",""
"監獄","監獄","1","OPEN_WORLD",""
"東方: 堀川雷鼓","東方: 堀川雷鼓","1","OPEN_WORLD",""
"薔薇少女","薔薇少女","1","OPEN_WORLD",""
"幸運☆星: 高良美幸","幸運☆星: 高良美幸","2","OPEN_WORLD",""
"偶像大師灰姑娘: 白坂小梅","偶像大師灰姑娘: 白坂小梅","1","OPEN_WORLD",""
"艦娘: 古鷹","艦娘: 古鷹","1","OPEN_WORLD",""
"魔法少女小圓: 鹿目圓","魔法少女小圓: 鹿目圓","2","OPEN_WORLD",""
"東方: 伊吹萃香","東方: 伊吹萃香","1","OPEN_WORLD",""
"艦娘: 神通","艦娘: 神通","1","OPEN_WORLD",""
"普羅米亞","普羅米亞","1","OPEN_WORLD",""
"普羅米亞: 里歐·弗提亞","普羅米亞: 里歐·弗提亞","1","OPEN_WORLD",""
"普羅米亞: 加洛·提莫斯","普羅米亞: 加洛·提莫斯","1","OPEN_WORLD",""
"艦娘: 俾斯麥","艦娘: 俾斯麥","1","OPEN_WORLD",""
"碧藍航線: 企業","碧藍航線: 企業","1","OPEN_WORLD",""
"東方: 洩矢諏訪子","東方: 洩矢諏訪子","2","OPEN_WORLD",""
"艦娘: 朝潮","艦娘: 朝潮","2","OPEN_WORLD",""
"幸運☆星: 柊司","幸運☆星: 柊司","1","OPEN_WORLD",""
"少女與戰車: 角谷杏","少女與戰車: 角谷杏","1","OPEN_WORLD",""
"東方: 茨木華扇","東方: 茨木華扇","2","OPEN_WORLD",""
"TO LOVE: 涅梅西斯","to love: 涅梅西斯","1","OPEN_WORLD",""
"食糞","食糞","1","OPEN_WORLD",""
"失憶","失憶","1","OPEN_WORLD",""
"情色漫畫老師: 山田妖精","情色漫畫老師: 山田妖精","1","OPEN_WORLD",""
"近親相交: 伯父","近親相交: 伯父","1","OPEN_WORLD",""
"JOJO：普羅修特","jojo:普羅修特","1","OPEN_WORLD",""
"JOJO：里蘇特","jojo:里蘇特","1","OPEN_WORLD",""
"JOJO: 岸邊露伴","jojo: 岸邊露伴","1","OPEN_WORLD",""
"JOJO: 東方仗助","jojo: 東方仗助","1","OPEN_WORLD",""
"境界線上的地平線","境界線上的地平線","1","OPEN_WORLD",""
"艦娘: 伊19","艦娘: 伊19","1","OPEN_WORLD",""
"艦娘: 天龍","艦娘: 天龍","2","OPEN_WORLD",""
"性虐殺","性虐殺","1","OPEN_WORLD",""
"COMIC1☆14","comic1☆14","1","OPEN_WORLD",""
"流汗吧！健身少女","流汗吧!健身少女","1","OPEN_WORLD",""
"鏡音鈴","鏡音鈴","1","OPEN_WORLD",""
"鏡音連","鏡音連","2","OPEN_WORLD",""
"JOJO: 特里休","jojo: 特里休","1","OPEN_WORLD",""
"JOJO: 史比特瓦根","jojo: 史比特瓦根","1","OPEN_WORLD",""
"碧藍航線: 如月","碧藍航線: 如月","1","OPEN_WORLD",""
"英雄聯盟: 索娜","英雄聯盟: 索娜","1","OPEN_WORLD",""
"英雄聯盟: 伊澤瑞爾","英雄聯盟: 伊澤瑞爾","1","OPEN_WORLD",""
"魔法少女小圓: 丘比","魔法少女小圓: 丘比","1","OPEN_WORLD",""
"東方: 小野塚小町","東方: 小野塚小町","1","OPEN_WORLD",""
"C64","c64","1","OPEN_WORLD",""
"中二病: 丹生谷森夏","中二病: 丹生谷森夏","1","OPEN_WORLD",""
"中二病也想談戀愛","中二病也想談戀愛","2","OPEN_WORLD",""
"DoA: 綾音","doa: 綾音","1","OPEN_WORLD",""
"戰國無雙","戰國無雙","1","OPEN_WORLD",""
"物語系列: 神原駿河","物語系列: 神原駿河","2","OPEN_WORLD",""
"COMIC1☆7","comic1☆7","2","OPEN_WORLD",""
"物語系列: 羽川翼","物語系列: 羽川翼","1","OPEN_WORLD",""
"艦娘: 401","艦娘: 401","1","OPEN_WORLD",""
"少女與戰車: 秋山優花里","少女與戰車: 秋山優花里","1","OPEN_WORLD",""
"COMIC1☆8","comic1☆8","2","OPEN_WORLD",""
"友少: 羽瀨川小鳩","友少: 羽瀨川小鳩","1","OPEN_WORLD",""
"劣等生: 深雪","劣等生: 深雪","1","OPEN_WORLD",""
"魔法科高中的劣等生","魔法科高中的劣等生","1","OPEN_WORLD",""
"英雄聯盟: 安妮","英雄聯盟: 安妮","1","OPEN_WORLD",""
"怪物獵人","怪物獵人","1","OPEN_WORLD",""
"中二病: 小鳥遊六花","中二病: 小鳥遊六花","1","OPEN_WORLD",""
"中二病: 富樫勇太","中二病: 富樫勇太","1","OPEN_WORLD",""
"本子娜","本子娜","1","OPEN_WORLD",""
"艦娘: 瑞鳳","艦娘: 瑞鳳","1","OPEN_WORLD",""
"LOVELIVE: 全員","lovelive: 全員","1","OPEN_WORLD",""
"我妹: 五更瑠璃","我妹: 五更瑠璃","1","OPEN_WORLD",""
"艦娘: 大鯨","艦娘: 大鯨","1","OPEN_WORLD",""
"艦娘: 神風","艦娘: 神風","1","OPEN_WORLD",""
"艦娘: 神威","艦娘: 神威","1","OPEN_WORLD",""
"房東妹子青春期","房東妹子青春期","1","OPEN_WORLD",""
"房東妹子青春期: 里中千惠","房東妹子青春期: 里中千惠","1","OPEN_WORLD",""
"排球少年！！: 影山飛雄","排球少年!!: 影山飛雄","2","OPEN_WORLD",""
"排球少年！！: 日向翔陽","排球少年!!: 日向翔陽","2","OPEN_WORLD",""
"FATE: 金閃閃","fate: 金閃閃","2","OPEN_WORLD",""
"銀魂: 沖田","銀魂: 沖田","1","OPEN_WORLD",""
"艦娘: 磯風","艦娘: 磯風","1","OPEN_WORLD",""
"艦娘: 羽黑","艦娘: 羽黑","1","OPEN_WORLD",""
"你的名字","你的名字","2","OPEN_WORLD",""
"你的名字: 三葉","你的名字: 三葉","2","OPEN_WORLD",""
"暗殺教室: 殺老師","暗殺教室: 殺老師","1","OPEN_WORLD",""
"暗殺教室: 渚","暗殺教室: 渚","1","OPEN_WORLD",""
"一拳: 傑諾斯","一拳: 傑諾斯","1","OPEN_WORLD",""
"銀魂: 九兵衛","銀魂: 九兵衛","2","OPEN_WORLD",""
"銀魂: 月詠","銀魂: 月詠","2","OPEN_WORLD",""
"偶像大師灰姑娘: 神谷奈緒","偶像大師灰姑娘: 神谷奈緒","1","OPEN_WORLD",""
"OVERLORD","overlord","1","OPEN_WORLD",""
"OVERLORD: 娜貝拉爾","overlord: 娜貝拉爾","1","OPEN_WORLD",""
"Sunshine Creation","sunshine creation","1","OPEN_WORLD",""
"排球少年！！: 及川徹","排球少年!!: 及川徹","1","OPEN_WORLD",""
"排球少年！！: 清水潔子","排球少年!!: 清水潔子","1","OPEN_WORLD",""
"哈利波特","哈利波特","1","OPEN_WORLD",""
